user_id,item_id,rating
4569,2224,5.0
1506,2904,1.0
2893,798,4.0
777,2123,3.0
5292,2625,4.0
4926,799,4.0
5309,1050,4.0
5494,3393,4.0
4248,3504,4.0
3405,2739,5.0
3302,3549,5.0
3793,2438,4.0
3371,266,5.0
4248,3013,4.0
3222,10,5.0
4426,990,5.0
4268,2555,4.0
4248,951,3.0
1950,479,5.0
3025,672,5.0
2823,665,5.0
4647,1660,4.0
2140,2628,5.0
5032,3512,5.0
3892,696,5.0
1492,2625,4.0
4592,2136,4.0
5056,9,5.0
675,1639,5.0
1313,858,1.0
5306,2623,5.0
3290,2860,5.0
3045,2742,1.0
5362,2918,4.0
4117,664,5.0
3539,3237,2.0
2136,1768,5.0
1424,949,5.0
3163,3387,3.0
4801,2127,5.0
2685,2634,5.0
5202,1891,5.0
333,2539,3.0
4220,580,5.0
4762,2331,4.0
2361,891,5.0
2290,337,5.0
3564,2272,5.0
1416,2581,5.0
530,2123,4.0
5388,578,5.0
1246,2825,4.0
5419,2482,2.0
4500,1596,2.0
1042,2737,3.0
715,1699,4.0
4469,2593,3.0
2973,1350,4.0
3365,1672,5.0
4125,2543,4.0
817,2998,5.0
188,3107,4.0
5501,2208,4.0
1684,2976,4.0
3255,245,5.0
4897,1079,4.0
825,908,4.0
2337,2384,4.0
3787,25,5.0
2483,2329,5.0
3421,1714,5.0
839,2428,5.0
1956,3009,5.0
716,994,5.0
5061,2919,5.0
448,3163,5.0
2851,952,5.0
1763,50,5.0
2723,2011,5.0
2217,2384,4.0
3419,651,4.0
2784,428,5.0
2751,1286,4.0
5261,2530,4.0
1182,578,5.0
2443,1673,5.0
3943,1684,4.0
1085,1070,4.0
4607,3559,5.0
4693,1,5.0
2641,1560,5.0
2619,72,5.0
2745,2548,5.0
33,2236,1.0
464,3076,1.0
1492,2265,3.0
5190,2474,3.0
2350,1741,5.0
4500,879,3.0
1247,2711,5.0
1016,3004,5.0
3228,2136,5.0
1533,1940,5.0
5145,593,3.0
1272,3270,4.0
946,503,3.0
3966,1920,4.0
5179,3463,4.0
4150,2146,5.0
4554,2503,4.0
2713,2838,4.0
1092,756,3.0
1310,1621,3.0
2916,2125,1.0
1356,3182,1.0
3080,222,5.0
1446,469,5.0
2591,2025,4.0
66,606,5.0
4500,1113,5.0
5437,3046,2.0
4344,985,4.0
5337,1900,4.0
4479,2872,3.0
949,825,4.0
4244,1602,5.0
3759,1615,5.0
3725,1840,4.0
4757,3499,5.0
5457,2611,3.0
3750,2235,5.0
4806,2007,4.0
4752,186,3.0
782,2903,3.0
1445,3106,4.0
628,736,5.0
207,349,5.0
659,2246,5.0
1123,3427,3.0
2609,3344,4.0
4500,1313,3.0
3292,876,5.0
1971,2156,5.0
3519,1600,5.0
4500,2271,1.0
5387,139,5.0
3790,2184,3.0
1372,838,5.0
