method,modal,acc
gmc_l,[0&1&2],0.9995703220367431
gmc_l,[0&1],0.9890602469444275
gmc_l,[0&2],0.9988476634025574
gmc_l,[0],0.9969140768051148
gmc_l,[1&2],0.9893210291862488
gmc_l,[1],0.8866429448127746
gmc_l,[2],0.9977343797683715
mmix_l_01,[0&1&2],0.9982663035392761
mmix_l_01,[0&1],0.984361219406128
mmix_l_01,[0&2],0.9967968821525574
mmix_l_01,[0],0.9939131259918212
mmix_l_01,[1&2],0.9848965883255005
mmix_l_01,[1],0.8724804878234863
mmix_l_01,[2],0.9888901710510254
mmix_l_05,[0&1&2],0.9985397696495056
mmix_l_05,[0&1],0.9834949493408203
mmix_l_05,[0&2],0.9977952837944031
mmix_l_05,[0],0.9945576786994934
mmix_l_05,[1&2],0.9834627866744995
mmix_l_05,[1],0.8535753607749939
mmix_l_05,[2],0.9939568042755127
mmix_l_10,[0&1&2],0.9985592722892761
mmix_l_10,[0&1],0.9828194141387939
mmix_l_10,[0&2],0.9978734016418457
mmix_l_10,[0],0.9944749474525452
mmix_l_10,[1&2],0.9828860521316528
mmix_l_10,[1],0.8528837084770202
mmix_l_10,[2],0.9954319834709168
mmix_l_20,[0&1&2],0.9982272386550903
mmix_l_20,[0&1],0.9806789994239807
mmix_l_20,[0&2],0.9977734565734864
mmix_l_20,[0],0.9943750023841857
mmix_l_20,[1&2],0.9808180093765259
mmix_l_20,[1],0.8444956064224243
mmix_l_20,[2],0.9956273078918457
