method,modal,acc
gmc_nl,[0&1&2],0.9996484518051147
gmc_nl,[0&1],0.9883593916893005
gmc_nl,[0&2],0.9988281488418579
gmc_nl,[0],0.9968795895576477
gmc_nl,[1&2],0.9890475630760193
gmc_nl,[1],0.8915062189102173
gmc_nl,[2],0.9975390553474426
mmix_nl_01,[0&1&2],0.9993405222892762
mmix_nl_01,[0&1],0.9866544008255005
mmix_nl_01,[0&2],0.998437511920929
mmix_nl_01,[0],0.9954974889755249
mmix_nl_01,[1&2],0.9883053779602051
mmix_nl_01,[1],0.8739211797714234
mmix_nl_01,[2],0.99627183675766
mmix_nl_05,[0&1&2],0.9990257382392883
mmix_nl_05,[0&1],0.9853734016418457
mmix_nl_05,[0&2],0.9982617259025574
mmix_nl_05,[0],0.9950631856918335
mmix_nl_05,[1&2],0.9869508504867553
mmix_nl_05,[1],0.8603883385658264
mmix_nl_05,[2],0.9964671611785889
mmix_nl_10,[0&1&2],0.9987224221229554
mmix_nl_10,[0&1],0.9849425554275513
mmix_nl_10,[0&2],0.9981835961341858
mmix_nl_10,[0],0.994831097126007
mmix_nl_10,[1&2],0.9863672375679016
mmix_nl_10,[1],0.8503538727760315
mmix_nl_10,[2],0.9959053158760071
mmix_nl_20,[0&1&2],0.9989912390708924
mmix_nl_20,[0&1],0.9845174789428711
mmix_nl_20,[0&2],0.9984179735183716
mmix_nl_20,[0],0.9952826261520386
mmix_nl_20,[1&2],0.9856089115142822
mmix_nl_20,[1],0.8411500453948975
mmix_nl_20,[2],0.996100640296936
