,method,seed,modal,mae,cor,f1,acc
0,gmc,0,[0],0.7229456,0.5799241725628616,0.7817813740075222,0.7823204419889502
1,gmc,0,[1],0.8275353,0.2545701162263854,0.691583190473835,0.6613259668508288
2,gmc,0,[2],0.8464938,0.27620858040270163,0.6758523740313971,0.664364640883978
3,gmc,0,[0&1&2],0.62577355,0.6684571802887143,0.7943565471467419,0.793646408839779
4,gmc,0,[0&1],0.7027436,0.5716852021728611,0.7818034217336676,0.7756906077348066
5,gmc,0,[1&2],0.8064936,0.30513917970629734,0.7102804479600358,0.6842541436464088
6,gmc,0,[0&2],0.69547224,0.5690106423535167,0.7793200824077747,0.775414364640884
7,mmix_im_05,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
8,mmix_im_05,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
9,mmix_im_05,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
10,mmix_im_05,0,[0&1&2],0.8399038,0.11388516273028025,0.6740765695268286,0.6088397790055249
11,mmix_im_05,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
12,mmix_im_05,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
13,mmix_im_05,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
14,mmix_05,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
15,mmix_05,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
16,mmix_05,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
17,mmix_05,0,[0&1&2],0.63584447,0.6507966186128227,0.7980150048133319,0.7994475138121547
18,mmix_05,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
19,mmix_05,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
20,mmix_05,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
21,mmix_im_01,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
22,mmix_im_01,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
23,mmix_im_10,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
24,mmix_im_20,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
25,mmix_im_01,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
26,mmix_im_10,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
27,mmix_im_20,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
