,method,seed,modal,acc
125,gmc_nl_lr1e-3_wd1e-4,0,[0&1&2],1.0
188,gmc_l_lr5e-4_wd1e-3,0,[0&1&2],0.9999023675918579
251,gmc_nl_lr5e-4_wd1e-4,0,[0&1&2],0.9999023675918579
146,gmc_l_lr5e-4_wd0.0,0,[0&1&2],0.999804675579071
40,gmc_nl_lr1e-3_wd0.0,0,[0&1&2],0.999804675579071
83,gmc_nl_lr1e-3_wd1e-3,0,[0&1&2],0.999707043170929
209,gmc_nl_lr5e-4_wd1e-3,0,[0&1&2],0.999707043170929
124,gmc_nl_lr1e-3_wd1e-4,0,[0&2],0.99951171875
230,gmc_l_lr5e-4_wd1e-4,0,[0&1&2],0.99951171875
14,gmc_l_lr1e-3_wd0.0,0,[0&1&2],0.99951171875
181,mmix_nl_05_lr5e-4_wd1e-3,0,[0&1&2],0.9994140863418579
264,mmix_nl_05_lr1e-4_wd0.0,0,[0&1&2],0.9994140863418579
100,mmix_nl_05_lr1e-3_wd1e-4,0,[0&1&2],0.9994140863418579
306,mmix_nl_05_lr1e-4_wd1e-3,0,[0&1&2],0.9994140863418579
223,mmix_nl_05_lr5e-4_wd1e-4,0,[0&1&2],0.9994140863418579
60,mmix_nl_05_lr1e-3_wd1e-3,0,[0&1&2],0.9994140863418579
19,mmix_nl_05_lr1e-3_wd0.0,0,[0&1&2],0.9994140863418579
37,gmc_nl_lr1e-3_wd0.0,0,[0&2],0.9994140863418579
348,mmix_nl_05_lr1e-4_wd1e-4,0,[0&1&2],0.9994140863418579
208,gmc_nl_lr5e-4_wd1e-3,0,[0&2],0.9994140863418579
140,mmix_nl_05_lr5e-4_wd0.0,0,[0&1&2],0.9994140863418579
39,mmix_l_10_lr1e-3_wd0.0,0,[0&1&2],0.999316394329071
167,gmc_nl_lr5e-4_wd0.0,0,[0&1&2],0.999316394329071
370,mmix_l_10_lr1e-4_wd1e-4,0,[0&1&2],0.999316394329071
115,mmix_l_10_lr1e-3_wd1e-4,0,[0&1&2],0.999316394329071
243,mmix_l_10_lr5e-4_wd1e-4,0,[0&1&2],0.999316394329071
158,mmix_l_10_lr5e-4_wd0.0,0,[0&1&2],0.999316394329071
201,mmix_l_10_lr5e-4_wd1e-3,0,[0&1&2],0.999316394329071
229,gmc_l_lr5e-4_wd1e-4,0,[0&2],0.999316394329071
77,mmix_l_10_lr1e-3_wd1e-3,0,[0&1&2],0.999316394329071
328,mmix_l_10_lr1e-4_wd1e-3,0,[0&1&2],0.999316394329071
286,mmix_l_10_lr1e-4_wd0.0,0,[0&1&2],0.999316394329071
250,gmc_nl_lr5e-4_wd1e-4,0,[0&2],0.999218761920929
104,gmc_l_lr1e-3_wd1e-4,0,[0&1&2],0.9991211295127869
62,gmc_l_lr1e-3_wd1e-3,0,[0&1&2],0.9990234375
11,gmc_l_lr1e-3_wd0.0,0,[0&2],0.9990234375
145,gmc_l_lr5e-4_wd0.0,0,[0&2],0.9990234375
103,gmc_l_lr1e-3_wd1e-4,0,[0&2],0.9990234375
187,gmc_l_lr5e-4_wd1e-3,0,[0&2],0.9989258050918579
58,mmix_nl_10_lr1e-3_wd1e-3,0,[0&1&2],0.9988511204719543
137,mmix_nl_10_lr5e-4_wd0.0,0,[0&1&2],0.9988511204719543
265,mmix_nl_10_lr1e-4_wd0.0,0,[0&1&2],0.9988511204719543
95,mmix_nl_10_lr1e-3_wd1e-4,0,[0&1&2],0.9988511204719543
20,mmix_nl_10_lr1e-3_wd0.0,0,[0&1&2],0.9988511204719543
222,mmix_nl_10_lr5e-4_wd1e-4,0,[0&1&2],0.9988511204719543
307,mmix_nl_10_lr1e-4_wd1e-3,0,[0&1&2],0.9988511204719543
349,mmix_nl_10_lr1e-4_wd1e-4,0,[0&1&2],0.9988511204719543
179,mmix_nl_10_lr5e-4_wd1e-3,0,[0&1&2],0.9988511204719543
80,mmix_l_05_lr1e-3_wd1e-3,0,[0&1&2],0.998828113079071
327,mmix_l_05_lr1e-4_wd1e-3,0,[0&1&2],0.998828113079071
202,mmix_l_05_lr5e-4_wd1e-3,0,[0&1&2],0.998828113079071
166,gmc_nl_lr5e-4_wd0.0,0,[0&2],0.998828113079071
160,mmix_l_05_lr5e-4_wd0.0,0,[0&1&2],0.998828113079071
120,mmix_l_05_lr1e-3_wd1e-4,0,[0&1&2],0.998828113079071
285,mmix_l_05_lr1e-4_wd0.0,0,[0&1&2],0.998828113079071
244,mmix_l_05_lr5e-4_wd1e-4,0,[0&1&2],0.998828113079071
369,mmix_l_05_lr1e-4_wd1e-4,0,[0&1&2],0.998828113079071
41,mmix_l_05_lr1e-3_wd0.0,0,[0&1&2],0.998828113079071
121,gmc_nl_lr1e-3_wd1e-4,0,[2],0.9984375238418579
